debtor_id,age,gender,region,original_amount,days_past_due,delinquency_group,collection_status,amount_recovered,outstanding_amount,strategy_used,contact_attempts,contact_success_count,recovery_time_days,credit_score,income_level,employment_status,loan_id,collection_rate,contact_efficiency
31,39,남성,평창군,39809154,319,상각,실패,0,39809154,방문,11,4,,594,2514,직장인,L0031,0.0,0.0
32,65,여성,수원시,1458808,287,상각,실패,0,1458808,방문,8,0,,876,3431,자영업,L0032,0.0,0.0
33,20,남성,동해시,39973559,100,중기,실패,0,39973559,방문,3,0,,763,3226,직장인,L0033,0.0,0.0
34,69,남성,옥천군,40759176,229,상각,실패,0,40759176,전화,8,0,,839,6814,직장인,L0034,0.0,0.0
35,24,여성,금산군,44862676,37,단기,실패,0,44862676,문자,3,0,,691,3889,직장인,L0035,0.0,0.0
36,30,여성,고양시 덕양구,14794613,148,중기,실패,0,14794613,방문,5,0,,865,5191,직장인,L0036,0.0,0.0
37,46,여성,성남시 수정구,21947852,350,상각,실패,0,21947852,전화,12,1,,456,3034,자영업,L0037,0.0,0.0
38,53,여성,안양시 만안구,4492781,288,상각,실패,0,4492781,방문,10,0,,925,5173,무직,L0038,0.0,0.0
39,38,여성,부천시,11616044,175,중기,실패,0,11616044,방문,7,0,,404,3773,자영업,L0039,0.0,0.0
40,30,여성,서산시,22417153,184,상각,실패,0,22417153,전화,5,0,,649,2266,자영업,L0040,0.0,0.0
41,61,남성,옥천군,38396149,306,상각,실패,0,38396149,전화,11,0,,629,7872,무직,L0041,0.0,0.0
42,61,남성,화성시,25840124,37,단기,실패,0,25840124,문자,3,0,,717,5866,직장인,L0042,0.0,0.0
43,43,여성,홍성군,45431772,344,상각,실패,0,45431772,방문,11,1,,467,5735,직장인,L0043,0.0,0.0
44,35,남성,부천시 소사구,44602565,164,중기,실패,0,44602565,방문,6,0,,834,6048,직장인,L0044,0.0,0.0
45,61,여성,안양시 만안구,36141665,159,중기,실패,0,36141665,전화,5,0,,420,2306,직장인,L0045,0.0,0.0
46,28,여성,부천시 오정구,15206018,362,상각,실패,0,15206018,전화,12,0,,900,7786,직장인,L0046,0.0,0.0
47,69,남성,안양시 만안구,11654260,156,중기,실패,0,11654260,전화,6,0,,699,5737,무직,L0047,0.0,0.0
48,28,남성,화성시,46108964,174,중기,실패,0,46108964,전화,5,0,,818,6903,직장인,L0048,0.0,0.0
49,33,남성,성남시 중원구,9771318,165,중기,실패,0,9771318,방문,5,0,,527,3399,직장인,L0049,0.0,0.0
50,46,남성,당진시,10168164,243,상각,실패,0,10168164,전화,8,0,,777,5075,직장인,L0050,0.0,0.0
51,20,여성,과천시,22681632,185,상각,실패,0,22681632,전화,6,0,,606,2907,직장인,L0051,0.0,0.0
52,46,여성,화천군,42824039,351,상각,실패,0,42824039,방문,14,1,,675,3437,자영업,L0052,0.0,0.0
53,43,남성,광명시,31623765,50,단기,성공,20672062,10951703,문자,3,0,19.0,635,6497,무직,L0053,0.6536875669294911,6890687.333333333
54,27,남성,계룡시,24510772,347,상각,실패,0,24510772,방문,12,1,,801,2396,자영업,L0054,0.0,0.0
55,60,남성,옥천군,49455701,179,중기,실패,0,49455701,전화,7,0,,878,5122,자영업,L0055,0.0,0.0
56,45,남성,성남시,25768171,111,중기,실패,0,25768171,전화,3,0,,875,2863,직장인,L0056,0.0,0.0
57,38,남성,김포시,23791269,324,상각,실패,0,23791269,방문,11,2,,765,7858,직장인,L0057,0.0,0.0
58,61,남성,홍천군,42926184,173,중기,실패,0,42926184,전화,6,0,,590,7261,자영업,L0058,0.0,0.0
59,48,남성,부천시 오정구,3654984,300,상각,실패,0,3654984,전화,11,1,,665,3364,무직,L0059,0.0,0.0
60,29,남성,양평군,607666,328,상각,실패,0,607666,전화,12,1,,864,3251,직장인,L0060,0.0,0.0
61,58,남성,고성군,49264943,165,중기,실패,0,49264943,전화,7,1,,669,5822,무직,L0061,0.0,0.0
62,26,여성,용인시,35253193,350,상각,실패,0,35253193,전화,13,0,,939,5769,무직,L0062,0.0,0.0
63,68,남성,안성시,36136564,320,상각,실패,0,36136564,전화,12,0,,754,4529,자영업,L0063,0.0,0.0
64,41,남성,부천시 오정구,45060832,126,중기,실패,0,45060832,방문,5,0,,542,3010,직장인,L0064,0.0,0.0
65,49,여성,고양시 일산서구,7806248,347,상각,실패,0,7806248,전화,11,0,,940,5579,직장인,L0065,0.0,0.0
66,53,남성,성남시 분당구,45824960,256,상각,실패,0,45824960,전화,8,0,,921,5438,직장인,L0066,0.0,0.0
67,44,남성,부천시 원미구,48377401,297,상각,실패,0,48377401,전화,11,0,,657,7309,직장인,L0067,0.0,0.0
68,22,여성,하남시,47418485,117,중기,실패,0,47418485,전화,3,0,,793,7098,직장인,L0068,0.0,0.0
69,33,여성,청주시 청원구,11819643,103,중기,실패,0,11819643,전화,3,0,,567,3737,직장인,L0069,0.0,0.0
70,43,여성,연천군,8993050,162,중기,실패,0,8993050,전화,6,0,,482,5289,자영업,L0070,0.0,0.0
71,47,남성,포천시,16571925,273,상각,실패,0,16571925,전화,8,1,,628,5288,직장인,L0071,0.0,0.0
72,65,남성,아산시,34284859,272,상각,실패,0,34284859,방문,10,1,,824,7928,직장인,L0072,0.0,0.0
73,42,여성,예산군,31096366,171,중기,실패,0,31096366,방문,6,0,,529,2842,자영업,L0073,0.0,0.0
74,62,여성,삼척시,15666696,233,상각,실패,0,15666696,전화,9,0,,478,2125,직장인,L0074,0.0,0.0
75,50,여성,동두천시,37483007,191,상각,실패,0,37483007,방문,6,1,,539,3658,직장인,L0075,0.0,0.0
76,66,여성,진천군,29010734,297,상각,실패,0,29010734,전화,10,2,,858,2378,자영업,L0076,0.0,0.0
77,62,여성,음성군,48645222,49,단기,실패,0,48645222,문자,2,0,,408,7624,직장인,L0077,0.0,0.0
78,35,여성,청주시 상당구,48825019,229,상각,실패,0,48825019,전화,9,0,,650,4461,직장인,L0078,0.0,0.0
79,32,남성,당진시,29591511,42,단기,실패,0,29591511,문자,3,1,,691,7502,직장인,L0079,0.0,0.0
80,45,남성,예산군,5202427,359,상각,실패,0,5202427,전화,12,1,,522,3994,직장인,L0080,0.0,0.0
81,25,여성,수원시 영통구,48098530,86,단기,실패,0,48098530,문자,3,0,,930,7630,자영업,L0081,0.0,0.0
82,43,여성,안산시,23497758,65,단기,실패,0,23497758,문자,2,0,,803,2103,자영업,L0082,0.0,0.0
83,51,여성,증평군,47651987,110,중기,실패,0,47651987,전화,4,0,,836,6675,직장인,L0083,0.0,0.0
84,32,남성,속초시,8242023,131,중기,실패,0,8242023,전화,6,2,,544,2503,직장인,L0084,0.0,0.0
85,57,여성,금산군,49616021,196,상각,실패,0,49616021,전화,8,0,,532,6084,자영업,L0085,0.0,0.0
86,47,여성,금산군,24395301,103,중기,실패,0,24395301,전화,4,0,,410,3562,자영업,L0086,0.0,0.0
87,57,남성,수원시 팔달구,34420083,86,단기,실패,0,34420083,문자,4,1,,651,7317,자영업,L0087,0.0,0.0
88,34,남성,양평군,7966392,114,중기,실패,0,7966392,전화,5,0,,760,5111,무직,L0088,0.0,0.0
89,23,여성,양주시,38625286,238,상각,실패,0,38625286,방문,7,0,,912,2364,직장인,L0089,0.0,0.0
90,41,여성,철원군,8956699,62,단기,실패,0,8956699,문자,1,0,,539,6751,직장인,L0090,0.0,0.0
91,32,남성,군포시,40127192,53,단기,실패,0,40127192,문자,1,0,,746,3268,무직,L0091,0.0,0.0
92,60,여성,안양시 만안구,37597757,56,단기,실패,0,37597757,문자,2,0,,756,6910,자영업,L0092,0.0,0.0
93,27,여성,의정부시,26400818,222,상각,실패,0,26400818,전화,8,0,,849,6244,직장인,L0093,0.0,0.0
94,60,남성,고양시 일산서구,34432953,135,중기,실패,0,34432953,전화,5,0,,933,7485,직장인,L0094,0.0,0.0
95,44,남성,동두천시,48499915,212,상각,실패,0,48499915,전화,8,2,,624,7347,자영업,L0095,0.0,0.0
96,26,여성,가평군,8229014,57,단기,실패,0,8229014,문자,3,0,,433,2818,직장인,L0096,0.0,0.0
97,37,남성,화성시,49299562,307,상각,실패,0,49299562,방문,13,0,,867,5884,직장인,L0097,0.0,0.0
98,46,여성,천안시 동남구,33932788,347,상각,실패,0,33932788,전화,14,0,,905,5897,직장인,L0098,0.0,0.0
99,22,여성,안양시 만안구,42992992,157,중기,실패,0,42992992,전화,5,0,,605,2165,자영업,L0099,0.0,0.0
100,54,남성,의정부시,42208267,162,중기,실패,0,42208267,전화,6,0,,805,4921,직장인,L0100,0.0,0.0
101,25,여성,부천시 소사구,45033254,358,상각,실패,0,45033254,방문,12,1,,545,5239,자영업,L0101,0.0,0.0
102,48,여성,화천군,42983933,321,상각,실패,0,42983933,방문,9,0,,643,3035,직장인,L0102,0.0,0.0
103,52,여성,강릉시,11001147,239,상각,실패,0,11001147,전화,9,0,,850,4997,자영업,L0103,0.0,0.0
104,34,남성,옥천군,48760075,307,상각,실패,0,48760075,전화,11,0,,802,2322,자영업,L0104,0.0,0.0
105,24,남성,용인시 처인구,48705689,338,상각,실패,0,48705689,전화,11,1,,590,7071,직장인,L0105,0.0,0.0
106,69,남성,의정부시,46488577,253,상각,실패,0,46488577,방문,8,0,,592,6317,직장인,L0106,0.0,0.0
107,25,여성,당진시,43586107,361,상각,실패,0,43586107,전화,13,3,,837,7075,직장인,L0107,0.0,0.0
108,40,여성,수원시 영통구,32273769,334,상각,실패,0,32273769,전화,10,0,,650,4105,직장인,L0108,0.0,0.0
109,41,여성,영동군,43075137,128,중기,실패,0,43075137,방문,4,1,,734,6125,자영업,L0109,0.0,0.0
110,24,남성,김포시,32405516,351,상각,실패,0,32405516,전화,12,4,,452,2282,직장인,L0110,0.0,0.0
111,50,남성,광명시,33492646,35,단기,실패,0,33492646,문자,2,0,,806,7765,직장인,L0111,0.0,0.0
112,56,남성,천안시 동남구,17119476,187,상각,실패,0,17119476,전화,8,0,,784,6858,자영업,L0112,0.0,0.0
113,58,남성,여주시,47754885,341,상각,실패,0,47754885,전화,13,3,,656,7391,직장인,L0113,0.0,0.0
114,20,여성,단양군,13512968,244,상각,실패,0,13512968,전화,11,0,,877,2336,직장인,L0114,0.0,0.0
115,46,여성,의정부시,49137629,233,상각,실패,0,49137629,전화,9,0,,772,4832,무직,L0115,0.0,0.0
116,36,남성,금산군,37361052,188,상각,실패,0,37361052,방문,7,0,,861,7667,직장인,L0116,0.0,0.0
117,25,남성,부천시 소사구,4178472,334,상각,실패,0,4178472,방문,11,0,,680,5006,직장인,L0117,0.0,0.0
118,33,여성,수원시 장안구,8243054,74,단기,성공,3117114,5125940,전화,1,0,56.0,644,4279,직장인,L0118,0.37815037970150384,3117114.0
119,38,남성,영동군,9193218,280,상각,실패,0,9193218,전화,10,0,,803,4246,자영업,L0119,0.0,0.0
120,64,남성,안산시,30164976,101,중기,성공,22047736,8117240,전화,3,0,5.0,596,5765,직장인,L0120,0.7309051397886078,7349245.333333333
121,22,남성,시흥시,34690208,334,상각,실패,0,34690208,방문,14,0,,422,6083,무직,L0121,0.0,0.0
122,20,여성,과천시,25094074,330,상각,실패,0,25094074,전화,10,0,,823,4530,직장인,L0122,0.0,0.0
123,57,여성,파주시,37311805,86,단기,실패,0,37311805,문자,2,0,,656,4888,직장인,L0123,0.0,0.0
124,65,여성,파주시,31405541,252,상각,실패,0,31405541,방문,8,0,,827,7459,자영업,L0124,0.0,0.0
125,38,여성,연천군,534755,273,상각,실패,0,534755,전화,10,0,,447,4990,직장인,L0125,0.0,0.0
126,30,남성,용인시 기흥구,23562776,190,상각,실패,0,23562776,전화,8,0,,528,6796,직장인,L0126,0.0,0.0
127,52,남성,단양군,18697678,342,상각,실패,0,18697678,전화,11,2,,582,5420,직장인,L0127,0.0,0.0
128,24,여성,계룡시,23437277,182,상각,실패,0,23437277,방문,7,0,,625,7931,자영업,L0128,0.0,0.0
129,35,여성,서천군,8068775,113,중기,실패,0,8068775,전화,4,1,,684,2153,직장인,L0129,0.0,0.0
130,39,여성,공주시,22185534,192,상각,실패,0,22185534,전화,7,0,,592,7566,직장인,L0130,0.0,0.0
131,61,여성,삼척시,46938969,276,상각,실패,0,46938969,전화,8,0,,943,2028,자영업,L0131,0.0,0.0
132,45,여성,광주시,30460377,255,상각,실패,0,30460377,방문,10,0,,715,5759,직장인,L0132,0.0,0.0
133,37,여성,괴산군,46486857,247,상각,실패,0,46486857,전화,10,3,,817,5789,직장인,L0133,0.0,0.0
134,66,여성,안양시 동안구,5577865,310,상각,실패,0,5577865,전화,10,0,,464,6398,무직,L0134,0.0,0.0
135,69,남성,양양군,11578290,213,상각,실패,0,11578290,방문,8,0,,570,6461,직장인,L0135,0.0,0.0
136,60,남성,청주시 상당구,46568550,76,단기,성공,25142508,21426042,문자,3,0,56.0,438,5064,직장인,L0136,0.5399031749968595,8380836.0
137,20,남성,철원군,47938677,231,상각,실패,0,47938677,방문,9,0,,485,2301,자영업,L0137,0.0,0.0
138,32,남성,화천군,48788546,154,중기,실패,0,48788546,전화,4,0,,631,7878,직장인,L0138,0.0,0.0
139,33,남성,양평군,14602340,322,상각,실패,0,14602340,방문,9,0,,901,3907,직장인,L0139,0.0,0.0
140,52,여성,수원시,36194335,134,중기,실패,0,36194335,방문,5,0,,844,5192,자영업,L0140,0.0,0.0
141,67,여성,성남시,26035728,154,중기,실패,0,26035728,전화,5,0,,650,7517,직장인,L0141,0.0,0.0
142,25,여성,청주시 서원구,40867521,194,상각,실패,0,40867521,방문,7,1,,658,7259,직장인,L0142,0.0,0.0
143,59,여성,아산시,32589073,227,상각,실패,0,32589073,방문,7,1,,875,4524,직장인,L0143,0.0,0.0
144,60,여성,안산시,14525573,138,중기,실패,0,14525573,전화,4,0,,673,2238,직장인,L0144,0.0,0.0
145,32,남성,고성군,24319244,318,상각,실패,0,24319244,전화,10,0,,685,6844,직장인,L0145,0.0,0.0
146,66,여성,군포시,26258117,264,상각,실패,0,26258117,방문,9,0,,860,4472,직장인,L0146,0.0,0.0
147,20,남성,양평군,27092147,65,단기,실패,0,27092147,문자,1,0,,508,7418,자영업,L0147,0.0,0.0
148,56,여성,당진시,33734156,154,중기,실패,0,33734156,전화,5,0,,611,7038,직장인,L0148,0.0,0.0
149,49,남성,부천시 오정구,41062105,63,단기,실패,0,41062105,문자,2,0,,935,4923,직장인,L0149,0.0,0.0
150,61,여성,괴산군,21526986,45,단기,실패,0,21526986,문자,1,0,,633,4385,직장인,L0150,0.0,0.0
151,66,여성,정선군,28658799,358,상각,실패,0,28658799,방문,13,1,,472,6509,직장인,L0151,0.0,0.0
152,66,남성,당진시,29652779,268,상각,실패,0,29652779,전화,10,0,,649,6080,직장인,L0152,0.0,0.0
153,27,남성,평창군,25147442,341,상각,실패,0,25147442,방문,14,0,,461,3954,직장인,L0153,0.0,0.0
154,50,여성,연천군,27120491,226,상각,실패,0,27120491,방문,9,0,,946,2106,직장인,L0154,0.0,0.0
155,33,남성,안양시,43173186,136,중기,실패,0,43173186,전화,8,3,,839,3765,직장인,L0155,0.0,0.0
156,31,여성,홍성군,26717393,67,단기,실패,0,26717393,문자,4,0,,813,5468,직장인,L0156,0.0,0.0
157,29,남성,증평군,13582152,185,상각,실패,0,13582152,전화,6,0,,512,6974,무직,L0157,0.0,0.0
158,55,남성,부천시 오정구,38489881,102,중기,실패,0,38489881,방문,3,1,,652,6138,자영업,L0158,0.0,0.0
159,29,남성,부여군,14997149,350,상각,실패,0,14997149,전화,14,3,,877,6824,직장인,L0159,0.0,0.0
160,63,여성,공주시,11041878,95,중기,실패,0,11041878,전화,5,0,,697,2141,직장인,L0160,0.0,0.0
161,52,남성,영월군,15069808,273,상각,실패,0,15069808,방문,9,0,,460,4058,자영업,L0161,0.0,0.0
162,52,여성,가평군,1219464,42,단기,실패,0,1219464,문자,3,0,,778,4897,직장인,L0162,0.0,0.0
163,59,여성,괴산군,1008385,43,단기,실패,0,1008385,전화,3,0,,897,7636,무직,L0163,0.0,0.0
164,22,남성,고양시,22269164,307,상각,실패,0,22269164,방문,10,0,,490,2491,직장인,L0164,0.0,0.0
165,65,여성,수원시 장안구,24097689,171,중기,실패,0,24097689,전화,5,0,,730,6418,자영업,L0165,0.0,0.0
166,38,여성,강릉시,39282076,55,단기,실패,0,39282076,문자,3,0,,665,5463,무직,L0166,0.0,0.0
167,42,남성,시흥시,42921487,176,중기,실패,0,42921487,전화,6,0,,766,6853,직장인,L0167,0.0,0.0
168,20,남성,영동군,47370736,71,단기,실패,0,47370736,문자,2,0,,688,3192,직장인,L0168,0.0,0.0
169,33,남성,철원군,49215282,154,중기,실패,0,49215282,방문,6,1,,851,2326,자영업,L0169,0.0,0.0
170,62,여성,안양시 만안구,32403452,196,상각,실패,0,32403452,전화,6,0,,883,4487,직장인,L0170,0.0,0.0
171,35,여성,예산군,34069282,277,상각,실패,0,34069282,방문,9,3,,499,3119,직장인,L0171,0.0,0.0
172,20,여성,홍천군,19877705,239,상각,실패,0,19877705,전화,8,0,,546,6817,자영업,L0172,0.0,0.0
173,64,여성,성남시,19797081,292,상각,실패,0,19797081,방문,11,4,,625,4798,자영업,L0173,0.0,0.0
174,42,여성,영월군,39324460,345,상각,실패,0,39324460,전화,13,1,,534,2722,자영업,L0174,0.0,0.0
175,28,남성,과천시,28831977,313,상각,실패,0,28831977,방문,11,1,,548,5709,직장인,L0175,0.0,0.0
176,24,여성,부천시,43516448,158,중기,실패,0,43516448,전화,6,0,,819,6491,무직,L0176,0.0,0.0
177,30,남성,계룡시,370896,299,상각,실패,0,370896,전화,10,1,,903,6388,자영업,L0177,0.0,0.0
178,58,남성,안양시 동안구,16833537,215,상각,실패,0,16833537,전화,8,2,,899,3739,직장인,L0178,0.0,0.0
179,29,남성,아산시,40494817,37,단기,실패,0,40494817,전화,2,0,,596,5723,자영업,L0179,0.0,0.0
180,48,남성,보령시,10705031,135,중기,실패,0,10705031,방문,7,0,,853,6457,자영업,L0180,0.0,0.0
181,34,남성,수원시 영통구,37696061,108,중기,실패,0,37696061,방문,3,0,,600,6746,직장인,L0181,0.0,0.0
182,28,남성,파주시,12038006,339,상각,실패,0,12038006,전화,13,2,,871,2707,직장인,L0182,0.0,0.0
183,25,여성,영동군,17529553,189,상각,실패,0,17529553,전화,7,1,,528,3156,직장인,L0183,0.0,0.0
184,67,남성,청주시 흥덕구,48774288,299,상각,실패,0,48774288,전화,9,0,,465,5154,무직,L0184,0.0,0.0
185,45,남성,의왕시,36847779,337,상각,실패,0,36847779,전화,10,0,,723,7454,직장인,L0185,0.0,0.0
186,66,남성,서천군,30465890,233,상각,실패,0,30465890,전화,8,0,,683,5127,직장인,L0186,0.0,0.0
187,38,남성,과천시,11386544,144,중기,실패,0,11386544,전화,6,0,,656,5434,무직,L0187,0.0,0.0
188,27,여성,서산시,6633319,107,중기,실패,0,6633319,전화,4,0,,465,5294,자영업,L0188,0.0,0.0
189,58,여성,안산시 상록구,33510033,76,단기,성공,29519146,3990887,문자,2,0,15.0,845,4737,무직,L0189,0.8809047129258273,14759573.0
190,64,여성,서산시,8877578,81,단기,실패,0,8877578,문자,4,0,,561,3904,직장인,L0190,0.0,0.0
191,33,남성,안성시,13384058,149,중기,실패,0,13384058,전화,6,0,,851,2960,직장인,L0191,0.0,0.0
192,63,여성,김포시,42360323,93,중기,실패,0,42360323,전화,3,0,,687,2839,직장인,L0192,0.0,0.0
193,63,여성,철원군,24609251,103,중기,실패,0,24609251,방문,2,0,,708,6768,직장인,L0193,0.0,0.0
194,51,남성,양평군,27583630,103,중기,실패,0,27583630,전화,4,0,,750,4856,직장인,L0194,0.0,0.0
195,38,남성,예산군,38592107,332,상각,실패,0,38592107,방문,12,0,,855,4934,직장인,L0195,0.0,0.0
196,56,남성,양평군,41023410,137,중기,실패,0,41023410,전화,4,0,,867,3337,직장인,L0196,0.0,0.0
197,65,남성,철원군,41727138,238,상각,실패,0,41727138,방문,8,0,,833,7052,직장인,L0197,0.0,0.0
198,49,남성,영월군,15566534,323,상각,실패,0,15566534,전화,12,1,,757,3660,자영업,L0198,0.0,0.0
199,36,여성,부천시 오정구,37531284,117,중기,성공,6693188,30838096,방문,5,0,23.0,530,6523,자영업,L0199,0.1783362381100524,1338637.6
200,52,남성,하남시,26149089,60,단기,실패,0,26149089,문자,4,0,,902,3673,직장인,L0200,0.0,0.0
201,59,여성,안양시,17425534,153,중기,실패,0,17425534,전화,6,1,,648,6657,직장인,L0201,0.0,0.0
202,60,남성,부천시 원미구,16027726,115,중기,성공,7838232,8189494,전화,3,0,79.0,647,7129,직장인,L0202,0.48904205125543077,2612744.0
203,23,여성,하남시,38470643,161,중기,실패,0,38470643,전화,7,1,,730,4390,직장인,L0203,0.0,0.0
204,52,여성,구리시,5652848,254,상각,실패,0,5652848,전화,11,1,,836,7115,직장인,L0204,0.0,0.0
205,49,여성,양양군,47391751,253,상각,실패,0,47391751,방문,8,0,,537,5987,자영업,L0205,0.0,0.0
206,41,여성,양평군,29138518,347,상각,실패,0,29138518,전화,13,0,,779,3255,직장인,L0206,0.0,0.0
207,31,남성,안산시 상록구,28615341,298,상각,실패,0,28615341,전화,11,0,,495,4977,직장인,L0207,0.0,0.0
208,62,남성,옥천군,30923879,235,상각,실패,0,30923879,전화,7,1,,690,2132,직장인,L0208,0.0,0.0
209,53,남성,성남시 분당구,45506385,208,상각,실패,0,45506385,전화,7,1,,614,7999,직장인,L0209,0.0,0.0
210,21,여성,광주시,9736505,99,중기,실패,0,9736505,전화,3,0,,639,6242,직장인,L0210,0.0,0.0
211,50,남성,천안시 동남구,19314038,131,중기,성공,11616354,7697684,전화,6,0,49.0,573,6396,무직,L0211,0.6014461605594853,1936059.0
212,49,남성,양평군,29677177,91,중기,실패,0,29677177,방문,3,0,,606,4205,직장인,L0212,0.0,0.0
213,35,여성,영월군,41325399,126,중기,실패,0,41325399,방문,4,0,,422,2554,직장인,L0213,0.0,0.0
214,34,남성,부천시 원미구,12581208,300,상각,실패,0,12581208,전화,10,0,,519,6432,직장인,L0214,0.0,0.0
215,43,여성,태백시,27344114,105,중기,실패,0,27344114,전화,4,0,,727,2280,직장인,L0215,0.0,0.0
216,29,남성,천안시 서북구,39008072,341,상각,실패,0,39008072,방문,13,0,,719,6338,직장인,L0216,0.0,0.0
217,38,여성,금산군,20825703,142,중기,실패,0,20825703,전화,6,1,,420,4620,직장인,L0217,0.0,0.0
218,40,여성,구리시,38273308,194,상각,실패,0,38273308,전화,7,0,,714,6444,직장인,L0218,0.0,0.0
219,27,여성,동해시,39757479,169,중기,실패,0,39757479,방문,5,0,,865,2360,직장인,L0219,0.0,0.0
220,53,여성,용인시 기흥구,34375736,289,상각,실패,0,34375736,전화,11,1,,500,7562,직장인,L0220,0.0,0.0
221,31,남성,음성군,16156732,280,상각,실패,0,16156732,전화,10,3,,882,7456,직장인,L0221,0.0,0.0
222,54,남성,인제군,34449665,296,상각,실패,0,34449665,방문,11,0,,591,6566,무직,L0222,0.0,0.0
223,41,남성,정선군,28812736,108,중기,실패,0,28812736,전화,6,0,,456,5425,직장인,L0223,0.0,0.0
224,59,여성,보령시,35145849,256,상각,실패,0,35145849,전화,10,0,,630,7361,직장인,L0224,0.0,0.0
225,64,남성,평택시,12465754,115,중기,실패,0,12465754,전화,4,0,,814,3615,직장인,L0225,0.0,0.0
226,31,여성,과천시,4703625,172,중기,실패,0,4703625,전화,6,0,,660,7228,직장인,L0226,0.0,0.0
227,47,여성,철원군,13756435,173,중기,실패,0,13756435,전화,7,0,,515,5066,직장인,L0227,0.0,0.0
228,46,남성,부여군,18160599,217,상각,실패,0,18160599,전화,8,0,,526,3957,직장인,L0228,0.0,0.0
229,27,여성,영월군,37046688,130,중기,실패,0,37046688,방문,6,0,,522,2132,자영업,L0229,0.0,0.0
230,42,남성,당진시,14816958,284,상각,실패,0,14816958,방문,9,0,,418,6896,직장인,L0230,0.0,0.0
